시도,시군구,건강증진센터구분,건강증진센터명,소재지도로명주소,건강증진업무내용,운영기관전화번호,위도,경도
광주광역시,광산구,정신보건,광산구정신건강복지센터,"광주광역시 광산구 상무대로 239-1, 3층","정신질환자 사례관리, 정신건강증진사업, 자살예방사업 등",062-941-8567,35.14062095,126.7932445
광주광역시,광산구,정신보건,광산구중독관리통합지원센터,"광주광역시 광산구 상무대로 287, 3층","알코올 중독자 사례관리, 재활프로그램 등",062-714-1233,35.14360579,126.7928318
전라남도,여수시,건강증진,여수건강증진센터,전라남도 여수시 시청서4길47(학동),"대사증후군관리사업,영양플러스사업,신체활동사업,영양관리사업",061-659-4213,34.75931552,127.6603872
경기도,의정부시,건강증진,의정부시건강증진센터,경기도 의정부시 범골로 131,"건강증진센터 운영(개인별 맞춤형 운동처방, 운동·영양 교육 및 상담), 대사증후군 관리",031-870-6089,37.73615933,127.0395595
경상북도,김천시,정신보건,김천시정신건강복지센터,"경상북도 김천시 체육공원길 21, 3층",정신건강증진 및 자살예방사업,054-433-4005,36.1197327,128.1445275
충청북도,충주시,건강증진,충주시건강증진센터,충청북도 충주시 사직산21길34,"영양, 운동, 건강상담",043-850-3551,36.97085167,127.9280135
서울특별시,구로구,정신보건,서울특별시 구로정신건강복지센터,서울특별시 구로구 새말로60,정신건강증진사업 업무전반,02-861-2284,37.50321336,126.8866567
경상남도,통영시,정신보건,통영시정신건강복지센터,"경상남도 통영시 안개4길 108,(무전동)",정신건강증진 및 자살예방사업,055-650-6542,34.85980836,128.4320132
경상남도,창녕군,정신보건,창녕군정신건강복지센터,경상남도 창녕군 창녕읍 우포2로 1189-35,"정신건강증진사업, 자살예방사업, 중증정신질환자 관리 등",055-530-6260,35.5436522,128.4900857
광주광역시,북구,정신보건,광주북구정신건강복지센터,광주광역시 북구 북문대로 43,"정신건강증진, 정신장애인 및 자살예방 사례관리",062-267-5510,35.17518862,126.8807727
경상남도,고성군,정신보건,고성군정신건강복지센터,경상남도 고성군 고성읍 남포로 79번길 103-3,"재가정신질환자등록관리, 재활프로그램운영, 정신건강교육 등 정신건강증진사업운영",055-670-4057,34.96957375,128.3154029
부산광역시,해운대구,건강증진,해운대구건강증진센터,부산광역시 해운대구 반송로 853,예방보건 다목적 체육시설,051-717-3445,35.23004498,129.1478938
전라남도,신안군,건강증진,암태건강증진센터,전라남도 신안군 암태면 승봉로 38,"의과, 치과, 한의과 진료",061-271-1573,34.826233,126.1101211
전라남도,신안군,건강증진,하의건강증진센터,전라남도 신안군 하의면 하의로 250,"의과, 치과, 한의과 진료",061-275-4024,34.605756,126.0357691
울산광역시,남구,정신보건,울산광역시남구정신건강복지센터,울산광역시 남구 삼산중로 132,"정신질환자 재활, 정신건강교육.상담.홍보, 자살예방사업",052-227-1116,35.5453601,129.3363124
울산광역시,남구,정신보건,울산광역시남구정신건강복지센터,울산광역시 남구 삼산중로 132,"정신질환자 재활, 정신건강교육.상담.홍보, 자살예방사업",052-227-1116,35.5453601,129.3363124
울산광역시,남구,건강증진,무거건강생활지원센터,울산광역시 남구 대학로 147번길 41-26,건강생활습관 형성지원 및 만성질환 예방관리,052-226-2340,35.55124599,129.2596398
경기도,성남시,건강증진,수정구보건소 건강증진센터,경기도 성남시 수정구 수정로 218,"대사증후군관리, 체성분측정, 영양, 운동상담",031-729-3860,37.4443296,127.1440618
경기도,성남시,건강증진,중원구보건소 건강증진센터,경기도 성남시 중원구 금상로 137,"대사증후군관리, 영양, 운동",031-729-3936,37.44215625,127.1705808
경기도,성남시,건강증진,분당구보건소 건강증진센터,경기도 성남시 분당구 양현로 306,"대사증후군관리, 체성분측정, 영양, 운동상담",031-729-4005,37.4110097,127.124601
대구광역시,달성군,정신보건,달성군정신건강복지센터,"대구광역시 달성군 옥포읍 비슬로458길 6-2, 3층","정신건강증진사업, 중증정신질환자 관리사업, 자살예방사업, 아동·청소년정신건강증진사업, 통합정신건강증진사업",053-643-0199,35.789593,128.471279
전라남도,곡성군,정신보건,곡성군정신건강복지센터,전라남도 곡성군 곡성읍 곡성로 854,정신보건,061-363-9917,35.27886716,127.2969046
충청남도,태안군,건강증진,태안군보건의료원 건강검진센터,충청남도 태안군 태안읍 서해로 1952-16,국가 암 및 건강검진 등,041-671-5246,36.7518786,126.3231987
충청북도,영동군,정신보건,영동군정신건강복지센터,충청북도 영동군 영동읍 반곡동길 7,"정신건강증진, 자살예방, 아동청소년정신보건",043-740-5929,36.16849628,127.7759673
부산광역시,영도구,정신보건,영도구 정신건강복지센터,부산광역시 영도구 동삼북로 3(동삼동),정신건강과 자살예방 관련 상담 및 프로그램 진행,051-404-3379,35.08302016,129.0692231
경상남도,사천시,정신보건,사천시정신건강복지센터,경상남도 사천시 용현면 시청로 77-1,지역주민 정신건강증진사업,055-831-2794,35.00448215,128.0641106
대전광역시,유성구,정신보건,유성구정신건강복지센터,"대전광역시 유성구 박산로 177, 유성구보건소 2층",정신건강관리,042-825-3527,36.3538124711,127.3286409054
대구광역시,서구,건강증진,대구서구건강생활지원센터,대구광역시 서구 서대구로7길 46,"만성질환 상담실 및 운동 프로그램 운영, 내당권역 방문건강관리사업",053-663-3232,35.8607456,128.551449
경상북도,상주시,정신보건,상주시정신건강복지센터,경상북도 상주시 경상대로 3023,"중증정신질환자관리, 정신건강증진, 자살예방",054-536-0668,36.41691331,128.1508541
대구광역시,북구,정신보건,대구북구정신건강복지센터,"대구광역시 북구 성북로 43, 4층","중증정신질환자 관리, 정신건강증진사업, 아동청소년 정신건강증진사업, 자살예방사업 등",053-353-3631,35.891605,128.5882723
경기도,포천시,정신보건,포천시정신건강복지센터,경기도 포천시 포천로 1612,"시민 정신건강 증진, 중증정신질환자 지역사회 통합, 자살 위험없는 안전사회 구현",031-542-0222,37.90082576,127.2012628
경상남도,진주시,정신보건,진주시 정신건강복지센터,경상남도 진주시 문산읍 월아산로 983,"주간재활프로그램, 무료상담소 운영, 정신질환 의료비 지원 등",055-749-5774,35.15912752,128.163613
부산광역시,기장군,정신보건,기장군 정신건강증진센터,부산광역시 기장군 정관읍 용수로 11,정신건강증진사업 자살예방사업 중증정신질환자 관리 등,051-709-2983,35.32519573,129.1793749
경상남도,김해시,정신보건,김해시정신건강복지센터,"경상남도 김해시 주촌면 주선로 29-1, 3층","중증정신질환관리, 자살예방 및 정신건강증진, 아동청소년 정신건강증진",055-320-5949,35.23477742,128.8457571
부산광역시,수영구,건강증진,수영구건강증진센터,부산광역시 수영구 수영로 637-5,"운동, 영양, 비만, 건강행태개선 업무",051-752-4000,35.1624774,129.1134413
울산광역시,북구,건강증진,울산광역시 북구보건소 건강증진센터,"울산광역시 북구 산업로 1018, 2층건강관리센터",만성질환 예방 및 관리,052-241-8168,35.58355486,129.3607258
경기도,부천시,정신보건,부천시정신건강복지센터,경기도 부천시 성오로 172,"중증정신질환자관리사업, 아동청소년정신보건사업, 자살예방사업, 정신건강증진사업",032-654-4024,37.5283486197,126.7960258927
경기도,양평군,정신보건,양평군정신건강복지센터(부설 자살예방센터),"경기도 양평군 양평읍 중앙로111번길 34-21, 3층","정신건강증진, 자살예방관리",031-771-3521,37.49662351,127.505177
경기도,오산시,건강증진,건강증진센터,경기도 오산시 경기동로 59,"대사증후군관리, 영양관리, 비만관리, 신체활동교육",031-8036-6071,37.15936876,127.0778335
서울특별시,종로구,정신보건,정신건강복지센터,서울특별시 종로구 성균관로15길 10,정신건강증진사업,02-745-0199,37.590054,126.9976147
서울특별시,종로구,건강증진,명륜건강증진센터,서울특별시 종로구 성균관로1길 6-3,대사증후군관리,02-2148-3735,37.5834055,126.9977661
전라남도,나주시,정신보건,진산요양원,전라남도 나주시 노안면 노안삼도로 507-22,정신요양시설운영,061-336-1911,35.089994,126.6945442
전라남도,나주시,정신보건,빛고을정신요양원,전라남도 나주시 다도면 다도로 287-22,정신요양시설운영,061-337-3427,34.98546561,126.8276577
광주광역시,동구,정신보건,광주동구정신건강복지센터,광주광역시 동구 서남로 14,정신 건강예방서비스,062-233-0468,35.1449509557,126.9231629766
광주광역시,동구,정신보건,광주동구중독관리통합지원센터,"광주광역시 동구 구성로 190, 2층","중독자 등록관리, 중독예방사업",062-222-5666,35.152598,126.913948
경상북도,경산시,정신보건,정신건강복지센터,경상북도 경산시 남매로 158,정신건강증진사업 및 자살예방사업,053-816-7190,35.82511247,128.7432823
충청북도,단양군,건강증진,단양군 CCTV통합관제센터 체력단련실,충청북도 단양군 단양읍 별곡1로 17,체력단련실,043-420-3277,36.98473681,128.3674437
충청남도,논산시,건강증진,논산시건강생활지원센터,충청남도 논산시 해월로125번길 26,"건강증진프로그램운영, 대사증후군관리 등",041-746-8027,36.20478393,127.0822907
충청남도,천안시,건강증진,성정건강생활지원센터,충청남도 천안시 서북구 서부8길 29,"만성질환관리, 영양관리, 운동관리, 구강관리",041-521-2584,36.8197764,127.1398813
충청북도,옥천군,건강증진,옥천군보건소 건강증진센터,충청북도 옥천군 옥천읍 삼양로8길 10,건강증진사업,043-730-2121,36.30448958,127.5697187
대구광역시,중구,정신보건,대구광역시 중구정신건강복지센터,대구광역시 중구 태평로 45,"중증정신질환자 관리 및 아동청소년 정신건강 서비스,  지역주민 정신건강증진,  자살예방 및 위기대응",053-256-2900,35.87790606,128.583346
전라남도,구례군,건강증진,구례군 보건의료원 건강증진센터,전라남도 구례군 구례읍 동편제길 30,"운동상담, 영양상담, 금연상담, 대사증후군 관리, 물리치료실, 모바일 헬스케어 관리",061-780-2017,35.216048,127.4617801
대구광역시,수성구,정신보건,대구수성구정신건강복지센터,대구광역시 수성구 수성로 213,"중증정신질환자관리사업, 아동청소년정신보건사업, 자살예방사업, 정신건강증진사업",053-756-5860,35.844919,128.6119385422
대구광역시,수성구,건강증진,대구수성구보건건강생활지원센터,대구광역시 수성구 욱수천로 99,"대사증후군관리, 영양, 구강, 금연, 운동, 방문건강, 모자보건사업",053-666-3163,35.8369885032,128.7128212323
부산광역시,남구,정신보건,남구정신건강복지센터,부산광역시 남구 유엔평화로4번길 61,정신건강상담 및 프로그램 운영,051-626-4660,35.134251,129.088534
경상북도,영주시,정신보건,경상북도영주시보건소정신건강복지센터,경상북도 영주시 영주로159번길 73,"통합정신건강증진사업, 자살예방사업, 중증정신질환 등록관리",054-639-5728,36.82876293,128.6159883
광주광역시,광산구,정신보건,송광정신재활센터,광주광역시 광산구 우산로 17,정신질환자 재활프로그램 운영 및 사회복귀 도모,062-841-8250,35.15982359,126.8041452
광주광역시,동구,정신보건,광주동구치매안심센터,"광주광역시 동구 서남로 14, 7층",치매예방관리,062-608-3490,35.14495096,126.923163
광주광역시,동구,건강증진,지원건강생활지원센터,"광주광역시 동구 지원로 31-9, 2층","만성질환예방 및 관리사업, 신체활동, 영양, 비만, 재활, 건강체험관 운영",062-608-3950,35.125318,126.935176655
서울특별시,강북구,건강증진,강북구민건강관리센터(삼각산분소),서울특별시 강북구 삼양로19길 154,"호흡기환자진료센터, 건강운동지원실 운영, 어린이체험관 운영",02-901-4801,37.6170482,127.015605
광주광역시,광산구,정신보건,광역정신건강복지센터,광주광역시 광산구 무진대로 246,"정신건강사업 기획, 홍보, 매뉴얼 개발, 지역사회 네트워크 구축 등",062-600-1930,35.16108692,126.807107
서울특별시,노원구,정신보건,노원구정신건강복지센터,서울특별시 노원구 노해로 455,정신질환자 등록관리,02-2116-4591,37.65416667,127.0585199
경상남도,남해군,정신보건,남해군정신건강복지센터,경상남도 남해군 남해읍 선소로 6,"중증정신질환자관리, 주간재활프로그램운영",055-860-8785,34.84474988,127.8987857
서울특별시,강남구,건강증진,수서동건강증진센터,서울특별시 강남구 밤고개로1길 52,"대사증후군관리,만성질환관리",02-3423-8773,37.48900105,127.1052745
서울특별시,강남구,건강증진,세곡동건강증진센터,서울특별시 강남구 밤고개로 286,"대사증후군관리,만성질환관리,고혈압,당뇨 교육",02-3423-8688,37.4690094,127.1069041
인천광역시,계양구,건강증진,효성건강생활지원센터,인천광역시 계양구 봉오대로543번길 21,"만성질환등록관리, 교육 프로그램 운영, 기타서비스제공(금연클리닉, 불소용액 배부, 모자보건 상담 등)",032-430-7793,37.532549,126.7086103178
서울특별시,강서구,정신보건,강서구정신건강복지센터,"서울특별시 강서구 공항대로 561, B1층","중증정신질환관리, 정신건강상담, 자살예방, 알코올중독예방 등",02-2600-5926,37.54964994,126.8682802
전라북도,익산시,건강증진,익산시정신건강복지센터,전라북도 익산시 무왕로 975,"정신건강증진사업, 아동청소년 정신보건사업, 자살예방사업",063-841-4235,35.96098753,126.9664376
경기도,남양주시,건강증진,호평건강생활지원센터,경기도 남양주시 호평로68번길 21,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",031-590-8084,37.65456666,127.2489491
경기도,남양주시,건강증진,화도건강생활지원센터,경기도 남양주시 화도읍 비룡로 59,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",031-590-8434,37.65784817,127.3007103
경기도,군포시,정신보건,군포시정신복지센터(부설)자살예방센터,경기도 군포시 군포로 221,"만성정신장애인 관리, 정신건강사업, 주간재활 프로그램운영, 자살예방사업, 아동청소년정신건강사업,생명존중 및 노인자살예방사업",031-461-1771,37.3330901,126.9254149
충청남도,보령시,건강증진,보령시보건소 건강증진센터,충청남도 보령시 남포면 보령남로 234,"개인 운동상담 및 체성분 측정, 영양상담, 건강상담",041-930-5980,36.32450916,126.6023712
서울특별시,중랑구,정신보건,중랑구정신건강복지센터,서울특별시 중랑구 면목로 238,중증정신질환자 등록 및 사례관리아동청소년 정신건강사업정신장애인 재활프로그램 운영정신건강상담,02-2276-7000,37.5739185,127.0851055
강원도,인제군,정신보건,인제군 정신건강증진센터,강원도 인제군 인제읍 인제로 140번길 34,"정신건강증진센터운영(정신장애인 사회재활, 아동청소년 정신보건사업) 및 자살예방사업",033-461-2425,38.06327706,128.1685854
울산광역시,중구,정신보건,울산중구정신건강복지센터,울산광역시 중구 외솔큰길 225,"중증정신건강사업, 자살예방사업, 아동 청소년 정신건강증진사업",052-292-2900,35.569483,129.350445
울산광역시,중구,정신보건,울산중구정신건강복지센터,울산광역시 중구 외솔큰길 225,"중증정신건강사업, 자살예방사업, 아동 청소년 정신건강증진사업",052-292-2900,35.569483,129.350445
경기도,이천시,정신보건,이천시정신건강복지센터,경기도 이천시 이섭대천로 1119(증일동) 2층,"정신건강증진, 아동청소년정신건강증진사업, 자살예방사업",031-637-2330,37.27052428,127.4454563
경상남도,산청군,정신보건,산청군 정신건강복지센터,경상남도 산청군 산청읍 중앙로 97,"정신건강사업, 자살예방사업",055-970-7637,35.41608206,127.8842381
부산광역시,강서구,정신보건,부산광역시강서구정신건강복지센터,"부산광역시 강서구 공항진입로 8, ㈜제이슨인터네셔날 2층",자살예방 및 정신건강증진 사업 등,051-973-3418,35.18133851,128.9575791
경기도,광명시,건강증진,광명시시민건강증진센터,경기도 광명시 광명로 942-1,"건강기초검사, 상담, 어린이 건강체험관, 어르신 운동 프로그램 운영",02-2680-0967,37.48278046,126.8562947
경기도,고양시,건강증진,건강생활지원센터 고양,경기도 고양시 덕양구 혜음로 19-11,"건강마을 만들기, 대사증후군 등록관리, 생애주기별 비만예방 프로그램",031-8075-4823,37.7025182,126.9011953
경상남도,거창군,건강증진,거창군정신건강복지센터,경상남도 거창군 거창읍 거함대로 3079,"정신질환대상자 등록 관리, 주간재활프로그램 운영, 지역주민 정신건강상담 및 지원, 자살예방사업 등",055-940-8383,35.6809363,127.8987274
전라남도,영광군,정신보건,영광군정신건강복지센터,전라남도 영광군 영광읍 신남로4길17,"정신질환자 사례관리및 상담 교육, 정신질환자 사회복귀을 위한 프로그램",061-350-4807,35.274681,126.504163
전라남도,광양시,건강증진,광양시건강증진센터,전라남도 광양시 광양읍 인덕로 1100,"건강증진사업, 모바일헬스케어, 워크온",061-797-4103,34.98097674,127.5836111
전라남도,광양시,정신보건,광양시 정신건강복지센터,전라남도 광양시 광양읍 인덕로 1100,"중증정신질환자 관리사업, 아동청소년 정신건강증진사업, 자살예방사업 등",061-797-3746,34.98097674,127.5836111
전라남도,광양시,정신보건,광양시치매안심센터,전라남도 광양시 광양읍 호북길 13-3,"치매상담, 치매등록, 치매조기검진, 치매예방프로그램, 공공후견인사업, 치매안심마을, 치매인식개선 홍보, 지역 치매네크워크 구축, 치매환자 약제비 지원, 조호물품지급, 쉼터운영, 치매가족지원",061-797-4059,34.98010194,127.5836111
경상북도,청도군,건강증진,청도군건강증진센터,경상북도 청도군 화양읍 청화로 79-11,"수영장, 헬스장운영",054-370-2669,35.64862487,128.7372615
서울특별시,중구,정신보건,중구정신건강복지센터,서울특별시 중구 서소문로6길 16,"중증 정신질환자 등록 관리사업,영유아 아동청소년 지원사업주민정신건강증진사업생명사랑사업 등",02-2236-6606,37.559432,126.9662595
경상북도,문경시,정신보건,문경시정신건강복지센터,경상북도 문경시 신흥로 165,"중증 정신질환자 관리사업, 정신건강증진·환경 조성사업, 자살예방사업",054-554-0802,36.59576737,128.2023884
경기도,양평군,건강증진,양평군 건강관리중앙센터,"경기도 양평군 양평읍 마유산로 7, 보건소 뒤","운동, 질환, 영양, 심뇌혈관",031-770-2273,37.49761932,127.486322
경기도,양평군,건강증진,양평군 건강관리서부센터,"경기도 양평군 양서면 북한강로 38, 에코힐링센터내 3층","운동, 질환, 영양, 심뇌혈관",031-770-3447,37.54711021,127.3215219
경기도,양평군,건강증진,양평군 건강관리동부센터(추가),경기도 양평군 용문면 용문로 391 양평 동부청소년문화의집 내  3층,"운동, 질환, 영양, 심뇌혈관",031-770-3494,34.48702946,127.5958947
대전광역시,서구,건강증진,서구 보건소 건강증진센터,대전광역시 서구 만년로 74,"체성분 검사, 운동처방 운동프로그램",042-288-4545,36.367062,127.3810998
대전광역시,서구,건강증진,서구 관저보건지소 건강증진센터,대전광역시 서구 구봉산북로 300,"체성분 검사, 운동처방 운동프로그램",042-288-4634,36.301037,127.345007
경기도,가평군,건강증진,건강증진센터,경기도 가평군 가평읍 가화로 155-9,"신체활동, 영양업무",031-580-2833,37.8329564,127.5112146
대구광역시,남구,정신보건,대구남구정신건강복지센터,대구광역시 남구 영선길 34,"중증정신질환자관리사업, 아동청소년정신보건사업, 자살예방사업, 정신건강증진사업",053-628-5863,35.853883,128.5915237
경상남도,밀양시,건강증진,건강드림센터,경상남도 밀양시 삼문중앙로 41,"맞춤 운동처방 및 영양상담, 지역특화 건강증진, 만성질환 관리 프로그램 운영",055-359-7056,35.485619,128.756009
전라북도,정읍시,건강증진,시민(어르신)건강증진센터,전라북도 정읍시 수성1로 61,"만성질환건강상담,운동상담,영양상담,시민건강증진교육",063-539-6088,35.5779812453,126.8545209615
부산광역시,북구,정신보건,부산북구정신건강복지센터,부산광역시 북구 만덕대로89번길 9(덕천동) 북구보건소 덕천지소 3층,"정신건강증진및재활, 생명존중자살예방, 아동청소년정신건강증진",051-334-3200,35.2127675,129.0144018
강원도,강릉시,건강증진,남부건강생활지원센터,강원도 강릉시 성덕포남로 80-22,"모바일헬스케어사업, 소생활권맞춤형건강증진사업, 심뇌혈관질환예방관리사업, 한의약건강증진사업, 건강한성덕동만들기",033-660-2483,37.76324924,128.9188369
강원도,태백시,건강증진,태백시건강증진센터,강원도 태백시 태백로 905,건강증진,033-550-3039,37.176676,128.9924305
인천광역시,중구,정신건강증진,중구정신건강복지센터,인천광역시 중구 참외전로72번길 21,"정신건강사업, 생명피움사업, 종합자가검진 및 상담제공",032-760-6090,37.47721729,126.6291077
충청북도,청주시,정신보건,상당정신건강복지센터,충청북도 청주시 상당구 남일면 단재로 480,"정신건강, 질병예방, 건강관리",043-298-0199,36.5882642096,127.5059388388
충청북도,청주시,정신보건,서원정신건강복지센터,충청북도 청주시 서원구 구룡산로 235,"정신건강, 질병예방, 건강관리",043-291-0199,36.61602197,127.4713297
충청북도,청주시,정신보건,흥덕정신건강복지센터,충청북도 청주시 흥덕구 비하로15번길 16,"정신건강, 질병예방, 건강관리",043-234-8686,36.62858039,127.4242658
충청북도,청주시,정신보건,청원정신건강복지센터,충청북도 청주시 청원구 오창읍 과학산업3로 238,"정신건강, 질병예방, 건강관리",043-215-6868,36.71040553,127.4304724
경기도,파주시,정신보건,파주시정신건강복지센터,경기도 파주시 조리읍 봉천로 68,정신질환예방 및 정신질환자 등록 관리,031-942-2117,37.74507915,126.8050097
경상북도,울진군,건강증진,울진군보건소,경상북도 울진군 울진읍 읍내8길 61-8,"운동지도(운동, 운동실 기구이용), 영양상담(체지방측정 대사증후군)",054-789-5081,36.99621755,129.4045994
인천광역시,미추홀구,건강증진,건강증진120센터,인천광역시 미추홀구 한나루로 444,건강측정 및 건강상담,032-880-7475,37.44658054,126.667441
인천광역시,미추홀구,건강증진,건강증진120센터,인천광역시 미추홀구 소성로 339,건강측정 및 건강상담,032-728-6513,37.43768332,126.6850043
인천광역시,미추홀구,건강증진,건강증진120센터,인천광역시 미추홀구 석정로 464,건강측정 및 건강상담,032-861-9788,37.4658875,126.687304
인천광역시,미추홀구,건강증진,건강증진120센터,인천광역시 미추홀구 인주대로 198,건강측정 및 건강상담,032-728-6177,37.45480121,126.658576
인천광역시,미추홀구,건강증진,건강체력증진센터,인천광역시 미추홀구 주안서로 52,체력검사 및 맞춤운동프로그램 운영,032-876-0321,37.46346603,126.678076
서울특별시,영등포구,정신보건,영등포구 정신건강복지센터,서울특별시 영등포구 당산로 123(당산동3가),"정신건강 고위험군 조기발견 및 조기개입, 생애주기별 정신건강 예방사업, 정신건강 취약지역 사업자살위기개입 및 관리",02-2670-4793,37.52596316,126.8963671
경기도,양주시,건강증진,양주시 동부 건강생활지원센터,경기도 양주시 화합로1426번길 90,통합건강증진사업 업무,031-8082-4341,37.83814235,127.0680351
경기도,양주시,건강증진,양주시 서부 건강생활지원센터,경기도 양주시 광적면 부흥로 618번길 303,통합건강증진사업 업무,031-8082-4372,37.81249951,126.9723084
경기도,수원시,정신보건,수원시행복정신건강복지센터,경기도 수원시 장안구 송원로 101,수원시마음건강 지원 사업 생애주기별 정신건강증진 및 질환예방사업 등 수원시 정신건강 비젼 및 계획수립,031-253-5737,37.30402833,127.0103129
경기도,수원시,정신보건,수원시아동청소년정신건강복지센터,경기도 수원시 팔달구 동말로47번길 17,지역 내 아동 청소년 정신보건사업 기획 조기중재사업 평가사업,031-242-5738,37.27939629,126.9993939
경기도,수원시,정신보건,수원시성인정신건강복지센터,경기도 수원시 팔달구 매산로 89,중증정신 질환 관리 정신건강 증진사업,031-247-0888,37.27049849,127.0106742
경기도,수원시,정신보건,수원시자살예방센터,경기도 수원시 팔달구 동말로47번길 17,수원시 자살예방사업 종합계획 수립 자살 고위험군 등록관리 및 치료지원,031-247-3279,37.27939629,126.9993967
울산광역시,울주군,정신보건,울주군정신건강복지센터,울산광역시 울주군 삼남면 서향교1길 67-12,"중증정신질환자관리, 정신건강증진, 자살예방사업, 아동청소년 정신건강증진 등",052-262-1148,35.5583314,129.113771
울산광역시,울주군,정신보건,울주군정신건강복지센터,울산광역시 울주군 삼남면 서향교1길 67-12,"중증정신질환자관리, 정신건강증진, 자살예방사업, 아동청소년 정신건강증진 등",052-262-1148,35.5583314,129.113771
경상북도,영덕군,정신보건,영덕군정신건강복지센터,경상북도 영덕군 영덕읍 경동로 8367,"정신건강증진사업, 중증정신질환관리사업, 생명존중(자살예방)사업, 정신보건 환경조성사업",054-730-7161,36.4181557591,129.3676308742
경기도,평택시,정신보건,평택시정신건강복지센터,경기도 평택시 평택5로56,정신건강증진 및 자살예방사업,031-658-9818,36.99089576,127.1119697
경기도,평택시,건강증진,포승건강생활지원센터,경기도 평택시 포승읍 여술로47,"금연, 운동관리",031-8024-8660,36.98936154,126.847404
경기도,평택시,건강증진,평택시건강증진센터,경기도 평택시 평택5로 56,"통합건강상담실, 어린이건강체험관, 재활운동실, 로봇보행재활실 운영",031-8024-4414,36.99089531,127.1119719
대전광역시,중구,정신보건,대전광역시중구정신건강복지센터,대전광역시 중구 수도산로 15,"중증정신질환자관리, 자살예방 및 정신건강증진사업, 아동청소년 정신건강증진사업",042-257-9930,36.3203561,127.4258843
경기도,수원시,정신보건,수원시중독관리통합지원센터,경기도 수원시 팔달구 매산로 89,알코올 및 기타중독자의 발견 및 등록사업 가족전화 내방상담 교육,031-256-9478,37.27049849,127.0106742
경기도,수원시,정신보건,수원시노인정신건강복지센터,경기도 수원시 영통구 영통로 396,노인정신건강 서비스 대상자 등록 및 관리 의뢰체계 구축 노인정신질환 관련 프로그램 운영,031-273-7524,37.2568828,127.0697108
경기도,남양주시,건강증진,오남건강생활지원센터,경기도 남양주시 오남읍 진건오남로 806-34,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",031-590-8501,37.69857596,127.2048422
경기도,남양주시,건강증진,와부건강생활지원센터,경기도 남양주시 와부읍 월문천로 35,"만성질환 예방관리, 건강생활실천 상담, 교육프로그램 운영",031-590-4394,37.58551455,127.2163294
