시도,시군구,센터명,장소/위치,이용정원,연락처,위도,경도
경상북도,청도군,청도군청,경상북도 청도군 화양읍 청화로 70 지하1층 지하상황실,10명,054-841-2182,35.647252575783,128.733999266077
경상북도,울릉군,울릉한마음회관,경상북도 울릉군 울릉읍 울릉순환로 286 3층 어학연수실,15명,054-841-2182,37.4906268792402,130.904983477046
광주광역시,동구,충장동 행정복지센터,광주광역시 동구 충장로58번길 16 (충장로4가)충장동 행정복지센터 다목적실,5명,062-224-0096,35.1491844885509,126.912804112004
부산광역시,해운대구,반여2동 행정복지센터,부산광역시 해운대구 재반로211번길 9 (반여동)반여2동 행정복지센터,10명,070-5029-0817,35.1958884008419,129.130139355611
대구광역시,달서구,달서아트센터,대구광역시 달서구 문화회관길 160 (장기동)달서아트센터 3층,15명,053-214-1801,35.8434223614114,128.522826252636
세종특별자치시,다정남3로,다정동복합커뮤니티센터,세종특별자치시 다정남3로 10 (다정동)본관동3층 문화사랑방-2,20명,044-868-6024,36.4945238651294,127.250342942084
경상남도,양산시,양산시 웅상노인복지관,경상남도 양산시 삼호9길 11,10명,055-213-2776,35.4143864012035,129.171994921439
경상남도,함안군,함안종합사회복지관,경상남도 함안군 칠원읍 삼칠로 155 ,10명,055-213-2775,35.3096270643239,128.517185475377
충청남도,예산군,예산군장애인종합복지관,충청남도 예산군 신암면 추사고택로 496 예산군장애인종합복지관 정보화교육실,20명,041-415-1097(8),36.7622552364016,126.80981101034
경기도,수원시,광교2동 행정복지센터,"경기도 수원시 영통구 법조로149번길 155 (하동)광교2동 행정복지센터 4층 취미실1,2",10명,1600-6813,37.2922560647002,127.070104781578
경상북도,경산시,경산시 진량읍행정복지센터,경상북도 경산시 진량읍 다문로 50 진량읍행정복지센터 3층 전산교육장,15명,054-841-2182,35.873901572679,128.816307653092
충청북도,청주시,청주서원노인복지관,충청북도 청주시 서원구 원흥로 11-10 (산남동)2층 컴퓨터실,15명,043-900-5006,36.6074662791354,127.470297509201
부산광역시,부산진구,부산광역시립시민도서관,부산광역시 부산진구 월드컵대로 462 (초읍동)부산광역시립시민도서관,10명,070-5029-0817,35.182806226472,129.050141657905
경상북도,김천시,김천시청,경상북도 김천시 시청1길 1 (신음동)4층 정보화교육장,10명,054-841-2182,36.1397151155223,128.11330773026
경상남도,거제시,거제시 아주도서관,경상남도 거제시 탑곡로 73 (아주동)아주동주민센터,15명,055-213-2775,34.8620957047523,128.690621440577
서울특별시,영등포구,모랫말어르신복지센터,서울특별시 영등포구 도영로 41 (도림동)3층,20명,1544-9782,37.5097128385321,126.897493385214
부산광역시,금정구,금정도서관,부산광역시 금정구 금정도서관로 33 (청룡동)금정도서관,16명,070-5029-0817,35.2726132136189,129.096181650772
경기도,가평군,가평군노인복지관,경기도 가평군 가평읍 가화로 161 노인복지관1층,10명,1600-6813,37.833624076992,127.511202345759
경상북도,군위군,군위군 노인복지관,경상북도 군위군 군위읍 군청로 98-6 2층 정보화교실,10명,054-841-2182,36.2317788133734,128.570680684687
세종특별자치시,호려울로,보람동복합커뮤니티센터,세종특별자치시 호려울로 42 (보람동)4층 취미음악실-2,10명,044-868-6024,36.4787746111383,127.290614050013
경상북도,의성군,의성읍사무소 임시청사,경상북도 의성군 의성읍 홍술로 99 의성읍사무소 임시청사 3층 정보화교육장,30명,054-841-2182,36.3557783954379,128.690210259017
서울특별시,강동구,강동구립해공도서관,서울특별시 강동구 올림픽로 702 (천호동)해공도서관 3층 커뮤니티실,5명,1544-9782,37.5439476727563,127.125538378702
광주광역시,서구,광주 시청자미디어센터,광주광역시 서구 회재로 905 (금호동)2층,5명,062-224-0096,35.1238115452991,126.862336545805
경기도,양평군,양평군청,경기도 양평군 양평읍 군청앞길 2 양평군청 정보화 교육장 1층,10명,1600-6813,37.4917397537238,127.487680375367
경상남도,하동군,하동군 1970관,경상남도 하동군 하동읍 중앙3길 12-9 하동1970관 2층,10명,055-213-2776,35.070509207151,127.745487085787
경기도,수원시,정자2동행정복지센터,경기도 수원시 장안구 송정로24번길 34 (정자동)정자2동행정복지센터 2층,10명,1600-6813,37.2950778806422,127.000439511977
경상남도,양산시,양산시 웅상출장소,경상남도 양산시 진등길 40 (주진동)웅상출장소,15명,055-213-2778,35.3951050495535,129.155448780534
부산광역시,부산진구,부산진구청,부산광역시 부산진구 시민공원로 30 (부암동)부산진구 정보화교육장,10명,070-5029-0817,35.162830637421,129.05318830381
경상남도,창녕군,창녕군청 정보화교육장,경상남도 창녕군 창녕읍 군청길 1 창녕군청 정보화교육장 행복관 3층,10명,055-213-2777,35.5451632609156,128.493023647817
경상북도,칠곡군,칠곡군 기산평생학습복지센터,경상북도 칠곡군 기산면 주산로 1220-1 2층 정보화교육장,10명,054-841-2182,35.9864453320641,128.384569535335
경상북도,영천시,영천시 금호읍행정복지센터,경상북도 영천시 금호읍 금호로 153 ,13명,054-841-2182,35.9333373340015,128.877643484742
경상북도,구미시,구미시립양포도서관,경상북도 구미시 옥계북로 51 (옥계동),5명,054-841-2182,36.1387768598911,128.423119048813
경상북도,안동시,안동시 전통문화콘텐츠박물관,경상북도 안동시 서동문로 203 (동부동)1층 회의실,5명,054-841-2182,36.5662352774616,128.733986587175
경기도,안성시,안성2동 주민자치센터,경기도 안성시 강변로 74번길 16안성2동 주민자치센터,14명,1600-6813,37.0006273355328,127.269860706514
부산광역시,금정구,금정구종합사회복지관,부산광역시 금정구 반송로490번길 47 (금사동)금정구종합사회복지관,30명,070-5029-0817,35.2146541166453,129.118364430322
대구광역시,남구,대명4동 행정복지센터,대구광역시 남구 두류공원로20길 19 (대명동)2층,12명,053-214-1801,35.8459697643027,128.569508176117
제주특별자치도,서귀포시,알토산정보화마을,제주특별자치도 서귀포시 표선면 토산중앙로16번길 1 토산2리사무소 1층,10명,1899-8723,33.3088749689604,126.77972071423
경기도,수원시,광교홍재도서관,경기도 수원시 영통구 대학로 88 (이의동)광교홍재도서관2층,10명,1600-6813,37.3029355951196,127.047443129457
서울특별시,서대문구,홍은1동 자치회관,서울특별시 서대문구 세검정로1길 45 (홍은동)2층,10명,1544-9782,37.5932348986909,126.943903998437
경상남도,진주시,진주 연암공과대학교 배움터,경상남도 진주시 진주대로629번길 35 (가좌동)연암공대 인화관 내 1층,20명,055-213-2777,35.1653123714769,128.098091838466
부산광역시,수영구,망미도서관,부산광역시 수영구 연수로315번길 23 (망미동)망미 도서관 4층,12명,070-5029-0817,35.1734240609964,129.104837192102
광주광역시,광산구,더불어락광산구노인복지관,광주광역시 광산구 목련로 156 (운남동)3층,10명,062-224-0096,35.1714413740078,126.815940212035
부산광역시,북구,금곡동 행정복지센터,부산광역시 북구 금곡대로 466 (금곡동)금곡행정복지센터,10명,070-5029-0817,35.2500787970033,129.012848226375
경상남도,사천시,사천시청 정보화교육장,경상남도 사천시 용현면 시청로 77 3층정보화교육장,10명,055-213-2775,35.0035881294622,128.064746550268
광주광역시,남구,주월통합거점 경로당,광주광역시 남구 회서로 37 (주월동)주월통합거점경로당 2층,5명,062-224-0096,35.1301754584142,126.895353669663
충청북도,청주시,청주시복대근로자종합복지관,충청북도 청주시 흥덕구 죽천로 108-1 (복대동)청주시복대근로자종합복지관,15명,043-900-5006,36.6375983656612,127.435110590055
경기도,광명시,철산종합사회복지관 프로그램실,경기도 광명시 연서일로 4-3 (철산동)철산종합사회복지관 프로그램실  1층,10명,1600-6813,37.483078428502,126.865561376124
전라북도,익산시,원광종합사회복지관,전라북도 익산시 익산대로 415-7 (신동)원광종합사회복지관 2층,10명,1899-6222,35.9628571056772,126.952242064932
경기도,안성시,안성3동주민자치센터,경기도 안성시 고수2로 11 (당왕동)센터1층,15명,1600-6813,37.014234791042,127.257740085858
전라북도,군산시,군산노인종합복지관,전라북도 군산시 둔배미길 29 (중앙로2가)2층,10명,1899-6222,35.982935830965,126.715832402233
부산광역시,연제구,연제우체국,부산광역시 연제구 법원북로 33 (거제동)연제우체국 3층 회의실,10명,051-987-0201 ,35.1941205922801,129.070602953987
전라남도,영광군,영광군청,전라남도 영광군 영광읍 중앙로 203 지하 1층,15명,1566-6105,35.2768946597666,126.51234728794
경상북도,상주시,상주시청,경상북도 상주시 상산로 223 (남성동)정보화교육장 ,15명,054-841-2182,36.4113827694825,128.158738608852
경상남도,진주시,진주시 신안동 배움터,경상남도 진주시 석갑로91번길 8-17 (신안동)본관 4층 신안동 배움터,10명,055-213-2778,35.1812393264301,128.061038730241
부산광역시,부산진구,BBS부산중고등학교,부산광역시 부산진구 동평로 405번길 85양정청소년수련관 내,10명,070-5029-0817,35.1772923396196,129.071723077876
부산광역시,수영구,광안2동 행정복지센터,부산광역시 수영구 광안로 16번길 22광안2동 행정복지센터,10명,070-5029-0817,35.1557622398665,129.113831837329
세종특별자치시,새롬중앙로,새뜸마을7단지,"세종특별자치시 새롬중앙로 89 (새롬동, 새뜸마을7단지)1층 노인회",15명,044-868-6024,36.4878067000012,127.249669245398
경상남도,합천군,합천군 종합사회복지관,경상남도 합천군 합천읍 동서로 39 종합사회복지관 3층,10명,055-213-2777,35.5679281116892,128.156753359361
경상남도,진주시,진주시 상대동행정복지센터,경상남도 진주시 동진로 189상대동주민센터 3층,10명,055-213-2775,35.1803148437127,128.111936986314
광주광역시,광산구,송정 다락(송정1동커뮤니티센터),광주광역시 광산구 광산로 98-3 (송정동)송정 다락 2층,5명,062-224-0096,35.1422244248195,126.801301865935
서울특별시,동작구,스페이스 살림,서울특별시 동작구 노량진로 10 (대방동)스페이스 살림 B2 메이커스페이스실,10명,1544-9782,37.5123933402032,126.927272487671
인천광역시,남동구,만수3동 행정복지센터,인천광역시 남동구 서판로 11 (만수동)만수3동 행정복지센터 (2층 회의실),10명,1644-5561,37.461963423327,126.723004997934
강원도,춘천시,춘천북부노인복지관,강원도 춘천시 충열로 124 (우두동)3층 정보배움실,15명,033-910-0833,37.9039282172186,127.739128242384
서울특별시,금천구,금천노인종합복지관,서울특별시 금천구 시흥대로51길 93-32 (시흥동)1층,20명,1544-9782,37.4501343152384,126.897763811332
경상북도,청송군,청송읍행정복지센터,경상북도 청송군 청송읍 중앙로 253 청송읍행정복지센터 3층,30명,054-841-2182,36.4341620263106,129.056749808943
강원도,강릉시,강릉시 북부노인복지관,강원도 강릉시 연곡면 연주로 230 강릉시 북부노인복지관 1층 프로그램실,10명,033-910-0833,37.8743088633014,128.831368399732
대구광역시,동구,팔공정보문화센터,대구광역시 동구 효신로 34 (효목동)팔공정보문화센터 2층(2실),10명,053-214-1801,35.8751121283431,128.63447969202
광주광역시,동구,산수1동 마을사랑채,광주광역시 동구 무등로449번길 5-42 (산수동)산수1동 마을사랑채 다목적실,5명,062-224-0096,35.1578679206196,126.929877460467
경상북도,구미시,구미시 도량동행정복지센터,경상북도 구미시 문장로12길 1 (도량동),20명,054-841-2182,36.1405186558638,128.332575709985
부산광역시,강서구,명지노인종합복지관,부산광역시 강서구 명지국제13로 33 (명지동)명지노인종합사회복지관,18명,070-5029-0817,35.1105604141905,128.923043606972
전라남도,순천시,순천꿈꾸는배움터,전라남도 순천시 호남길 81 (영동)2층,15명,061-723-1363,34.9532295936272,127.481381990113
경기도,김포시,김포북부노인종합복지관,경기도 김포시 통진읍 마송1로16번길 40-2 김포시 북부노인종합복지관1층,30명,1600-6813,37.6837267882781,126.606895524348
경상남도,양산시,양산시 노인복지관,경상남도 양산시 북안남 5길 27양산시노인복지관 회원만 교육가능한 장소,10명,055-213-2778,35.3459908005953,129.041190279817
경상남도,함안군,함안군청,경상남도 함안군 가야읍 말산로 1 3층,10명,055-213-2775,35.2725109179928,128.406549058891
광주광역시,서구,디지털역량센터,"광주광역시 서구 상무민주로 120 (쌍촌동, 우미 아트빌)201동 107호",5명,062-224-0096,35.1614817608753,126.860273292858
충청북도,영동군,영동군청,충청북도 영동군 영동읍 영동황간로 15 정보화교육장,30명,043-900-5006,36.1711863335292,127.775963996218
경기도,양주시,양주혁신리빙랩센터,"경기도 양주시 옥정서로 254 (옥정동, 양주옥정3단지)양주 혁신 리빙랩센터 1층",15명,1600-6813,37.835430355877,127.088547118341
경기도,수원시,우만종합사회복지관 교육장,"경기도 수원시 팔달구 창룡대로210번길 13 (우만동, 주공3단지아파트)우만종합사회복지관 3층(우만주공 3단지 내)",10명,1600-6813,37.2926001781758,127.034042959694
경상북도,김천시,김천시 지좌동행정복지센터,경상북도 김천시 영남대로 1940 (지좌동)지좌동행정복지센터 1층,10명,054-841-2182,36.1200069986967,128.142334229847
경상북도,경산시,경산시 문화회관,경상북도 경산시 하양읍 문화로 24 경산시문화회관 2층 전산교육장,20명,054-841-2182,35.9115234074036,128.812803831549
경상북도,영천시,영천시 아이존 IT플라자,"경상북도 영천시 창신1길 35 (망정동, 아이존빌스타아파트)1층 교육장",15명,054-841-2182,35.9899399938666,128.952589996128
대구광역시,남구,남구청,대구광역시 남구 이천로 51 (봉덕동)2층 정보화교육장,15명,053-214-1801,35.8457998102819,128.597294920731
전라북도,익산시,남부권노인종합복지관,전라북도 익산시 목천로 328 (인화동2가)2층,8명,1899-6222,35.9268778637125,126.956900657391
전라북도,전주시,전주역 도시재생현장센터,전라북도 전주시 덕진구 백제대로 815 (우아동3가)1층,16명,1899-6222,35.8486929862775,127.157425127997
부산광역시,남구,용호종합사회복지관,부산광역시 남구 이기대공원로 7 (용호동)용호종합사회복지관,10명,070-5029-0817,35.1245640102441,129.113481177293
경상남도,양산시,양산시 비즈니스센터,경상남도 양산시 중앙로 33-2 (다방동)양산비즈니스센터 3층 정보화교육장,15명,055-213-2778,35.3340145881105,129.037839221043
경기도,안산시,선부2동 행정복지센터,경기도 안산시 단원구 지곡로 46 (선부동)선부2동 행정복지센터,10명,1600-6813,37.3383602519571,126.802921709158
충청북도,제천시,봉양도서관,충청북도 제천시 봉양읍 주포로8길 3-1 봉양도서관,20명,043-900-5006,37.132194744435,128.124352195287
부산광역시,해운대구,반여종합사회복지관,부산광역시 해운대구 재반로226번길 13-73 (반여동)반여종합사회복지관,10명,070-5029-0817,35.1982899206447,129.131891421538
경기도,오산시,오산노인종합복지관,경기도 오산시 수청로 192 (금암동)3층,10명,1600-6813,37.1777518091414,127.044835007329
경상남도,산청군,산청군 농업기술센터,경상남도 산청군 산청읍 물안실로 8-1 농업기술센터 내 정보화교육장,10명,055-213-2777,35.4056138886133,127.901018953066
광주광역시,동구,광주광역시 빛고을50+ 센터,광주광역시 동구 남문로 692 (학동)2층,10명,062-224-0096,35.1324057596423,126.928868694548
부산광역시,동구,동구노인복지관 초량분관,부산광역시 동구 초량남로 12 (초량동)동구노인복지관 초량분관,18명,070-5029-0817,35.1195620330778,129.034841291416
경기도,광명시,광명시평생학습원,경기도 광명시 철망산로 2 (하안동)평생학습원3층,10명,1600-6813,37.4667641149754,126.869900790088
인천광역시,미추홀구,"도화2,3동 행정복지센터","인천광역시 미추홀구 장고개로 29-1 (도화동)도화2,3동 행정복지센터 (3층)",10명,1644-5561,37.4707982321829,126.666522719011
경상남도,김해시,김해시 장애인종합복지관,경상남도 김해시 삼계로 140 (삼계동)김해시장애인종합복지관,10명,055-213-2775,35.2634283442882,128.87610702036
전라북도,전주시,선너머종합사회복지관,전라북도 전주시 완산구 선너머로 54 (중화산동1가)2층,10명,1899-6222,35.8153172639873,127.130542849122
경기도,오산시,꿈두레도서관,경기도 오산시 세마역로 20 (세교동)꿈두레도서관 지상2층,8명,1600-6813,37.1815706960256,127.045450668144
전라북도,전주시,전라북도 정보산업지원센터,전라북도 전주시 완산구 현무2길 25 (경원동3가)3층,10명,1899-6222,35.8206538605837,127.149600584146
충청북도,청주시,산남종합사회복지관,충청북도 청주시 서원구 구룡산로 290 (수곡동)2층 소강당,10명,043-900-5006,36.617495476551,127.47654634335
부산광역시,북구,만덕종합사회복지관,부산광역시 북구 함박봉로140번길 102 (만덕동)만덕종합사회복지관,10명,070-5029-0817,35.2018587253128,129.035393326853
경기도,수원시,오목천동장애인주간보호시설,경기도 수원시 권선구 서수원로 124 (오목천동)오목천동장애인주간보호시설 1층,10명,1600-6813,37.2388868392498,126.972246563215
서울특별시,성북구,돈암1동 삼성A 제1경로당,"서울특별시 성북구 동소문로34길 24 (돈암동, 돈암동 삼성아파트)106동 옆 관리소   (돈암1동 삼성A 제1경로당)",10명,1544-9782,37.5989927541109,127.023139541526
서울특별시,송파구,레미니스 1단지 경로당,"서울특별시 송파구 성내천로 6 (오금동, 송파레미니스)레미니스 1단지 경로당",10명,1544-9782,37.5083372409238,127.134828192603
경기도,부천시,대산종합사회복지관,경기도 부천시 심곡로9번길 54 (심곡본동)대산종합사회복지관2층,5명,1600-6813,37.4824341188396,126.779004327595
전라남도,광양시,광양중마동주민자치센터,전라남도 광양시 중마중앙로 119-1 (중동)4층,20명,1566-6105,34.9406941533599,127.697451603824
충청북도,청주시,충청북도노인종합복지관,충청북도 청주시 서원구 흥덕로 42 (사직동)1층 정보화강의실,30명,043-900-5006,36.6396846398692,127.474012869
부산광역시,해운대구,해운대종합사회복지관,부산광역시 해운대구 재반로12번길 16 (재송동)해운대 종합복지관,10명,070-5029-0817,35.1796692135271,129.127532295317
서울특별시,중구,서울시민청 스마트서울전시관,서울특별시 중구 세종대로 110 (태평로1가)지하1층,10명,1544-9782,37.5663174209601,126.977829174031
서울특별시,강북구,한국복지정보통신협의회(서울 강북),서울특별시 강북구 솔매로50길 43 (미아동)KT미아빌딩 별관2동 제1강의실,10명,1544-9782,37.6246541800923,127.028501814297
세종특별자치시,마음로,고운동(남측)복합커뮤니티센터,세종특별자치시 마음로 64 (고운동)1층 주민자료이용실-2,10명,044-868-6024,36.5049740605534,127.235364128354
경기도,수원시,밤밭노인복지관,경기도 수원시 장안구 상률로 53 (율전동)밤밭노인복지관 2층,10명,1600-6813,37.3063850364568,126.972108299543
경기도,부천시,노동복지회관,경기도 부천시 상오정로 10 (오정동)노동복지회관1층,15명,1600-6813,37.5240068190406,126.785019954377
경기도,수원시,서수원도서관교육장,경기도 수원시 권선구 탑동로57번길 35 (탑동)서수원도서관 2층,10명,1600-6813,37.2731188762591,126.972067809728
경상남도,창원시,마산하늘채문화의집작은도서관,경상남도 창원시 마산회원구 내서읍 호원로 359-1코오롱하늘채2차아파트 작은도서관(2층),10명,055-213-2116,35.2656340805628,128.524342185504
전라북도,익산시,깊은샘 작은도서관,전라북도 익산시 선화로59길 12-1 (영등동)깊은샘 도서관 1층,10명,1899-6222,35.9469957079402,126.969999773498
서울특별시,동작구,창업지원센터,서울특별시 동작구 상도로 35 (대방동)창업지원센터 4층,13명,1544-9782,37.5000063495191,126.924442561482
경기도,안산시,와동종합사회복지관,경기도 안산시 단원구 와동로 118 (와동)1층,10명,1600-6813,37.3405987919012,126.827264829892
전라북도,부안군,노인여성회관,전라북도 부안군 부안읍 매창로 127 4층 교육장,10명,1899-6222,35.7192756561889,126.732843423171
대구광역시,수성구,두산평생학습센터,대구광역시 수성구 들안로16길 78 (두산동)2층 정보화교육장,17명,053-214-1801,35.8392041121032,128.618159881825
광주광역시,남구,송암동 행정복지센터,광주광역시 남구 송암로 66 (송하동)3층,7명,062-224-0096,35.1115378514481,126.87711166612
부산광역시,북구,북구 평생학습관,부산광역시 북구 의성로115번길 71 (덕천동)북구 평생학습관 직업능력실,18명,070-5029-0817,35.2113213661827,129.014554609725
부산광역시,강서구,강서구청,부산광역시 강서구 낙동북로 477 (대저1동)강서구청 정보화교육장,10명,070-5029-0817,35.2122029412715,128.980585063107
경기도,수원시,수원시가족여성회관,경기도 수원시 팔달구 매산로 119 (교동)가족여성회관2층,10명,1600-6813,37.2717762394471,127.013485712581
광주광역시,광산구,스마일스토리 평생교육원,광주광역시 광산구 임방울대로826번길 60-37 (월계동)2층 평생교육원,5명,062-224-0096,35.215921514082,126.847658734628
전라북도,완주군,콩쥐팥쥐 도서관,전라북도 완주군 이서면 갈산로 40 5층,10명,1899-6222,35.8364502147636,127.05607889772
전라북도,군산시,수송동 행정복지센터,전라북도 군산시 동수송1길 7 (수송동)2층,10명,1899-6222,35.9648363597823,126.717633773781
