시도,시군구,기업명,연락처,구인사항,접수마감일자
광주광역시,북구,아이원유치원,062-946-3777,"1.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복2.사업내용 : 어린이집 운전원, 조리사3.구인인원 : 운전원 1명, 조리사 1명4.운영계획 : 오리엔테이션5.직무교육 : 자제교육6.모집연령대 : 60대7.근무지역 : 광주 광산구 신창동9.자격사항 : 운전면허 자격소지자",2022-12-31
광주광역시,북구,이레아이맘 서대문 은평 종로지사,010-5310-7589,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 - 산모,신생아 돌봄서비스  * 부서배치 및 참여인원 - 산모신생아 건강관리사 / 10 명* 직무교육 : 안전수칙교육 및 해당 업무 교육* 운영계획: 오리엔테이션 * 모집연령대: 만60세이상* .근무지역 : 서울 서대문구 부근* 자격사항 : 특별한 자격이나 경력 필요 없으나 아기를 사랑하고 성실하신분               요리 잘하시는 분 * 근무조건: 09:00~18;00  / 주 5일 근무",2022-12-31
광주광역시,북구,썬아이유치원,010-6325-9236,1.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복2.사업내용 : 어린이집 운전원3.구인인원 : 1명4.운영계획 : 오리엔테이션5.직무교육 : 자제교육6.모집연령대 : 60대7.모집직종 : 어린이집  통학 차량8.근무지역 : 광주 광산구 송정동9.자격사항 : 운전면허 자격소지자,2022-12-31
광주광역시,북구,꼬마성어린이집,010-2655-0427,1.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복2.사업내용 : 어린이집 운전원3.구인인원 : 오전오후 2시간씩 2명 /  한명이 오전오후 모두 근무해 주실경우 1명4.운영계획 : 오리엔테이션5.직무교육 : 자제교육6.모집연령대 : 60대7.모집직종 : 어린이집  통학 차량8.근무지역 : 광주 북구 일곡동9.자격사항 : 운전면허 자격소지자(1종보통/1종대형)/ 경력자 우대,2022-12-31
광주광역시,북구,농업회사법인 주식회사 새벽팜,010-5648-7100,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용  - 김치 및 유사채소 절임식품 제조 * 부서배치 및 참여인원  - 생산직 2명* 자격사항  - 없음* 운영계획: 시니어인턴십 3개월 운영 후 계속고용* 모집연령대: 만60세이상* 통근버스 운영하고 있음(운암동, 신창동,비아동, )  광주거주 사내직원이 많아 카플가능",2022-12-31
광주광역시,북구,주식회사 차암홀딩스,010-4042-1891,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용  - 즉석조리식품제조업, 도매 및 소매* 부서배치 및 참여인원   경영관리자, 생산관리자 / 2명* 자격사항  - 없음* 운영계획: 시니어인턴십 3개월 운영 후 계속고용* 모집연령대: 만60세이상",2022-12-31
광주광역시,북구,해찬마을 협동조합(화순지점),010-9822-2560,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 - 일반음식점, 식품접객원* 부서배치 및 참여인원 -  조리부  1명* 운영계획 -  오리엔테이션* 모집연령대  -  만60세이상",2022-12-31
광주광역시,북구,주식회사 워킹맘,010-7211-1182,* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용  식품제조 가공 - 위탁급식* 부서배치 및 참여인원 - 조리부 2명* 자격사항  - 없음* 운영계획: 시니어인턴십 3개월 운영 후 신규고용* 모집연령대: 만60세이상,2022-12-31
광주광역시,북구,유한회사 대성이엔시,062-363-1335,* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 운수업/ 택시 운전기사* 부서배치 및 참여인원  - 택시운전기사 / 40명  * 자격사항  - 운전면허증* 운영계획: 시니어인턴십 3개월 운영 후 신규고용* 모집연령대: 만60세이상,2022-12-31
광주광역시,북구,주식회사 명성에스디,062-363-1335,* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 운수업/ 택시 운전기사* 부서배치 및 참여인원  - 택시운전기사 / 40명  * 자격사항  - 운전면허증* 운영계획: 시니어인턴십 3개월 운영 후 신규고용* 모집연령대: 만60세이상,2022-12-31
광주광역시,북구,은하수전세버스협동조합,010-3641-2601,* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용  - 운수업* 부서배치 및 참여인원  - 버스기사 2명* 자격사항  - 없음* 운영계획: 시니어인턴십 3개월 운영 후 신규고용* 모집연령대: 만60세이상,2022-12-31
광주광역시,북구,효드림재가복지센터,061-882-7772,"* 사업목적  - 노인일자리 활성화 및 신규일자리 창출  - 어르신들의 근무의욕  고취* 사업내용 - 노인주간보호, 방문요양* 부서배치 및 참여인원  - 사회복지사 1명, 간호조무사 1명* 자격사항 : 해당자격증 소지자* 운영계획: 시니어인턴십 3개월 운영 후 신규고용* 모집연령대: 만60세이상",2022-12-31
광주광역시,북구,목화재가노인복지센터,010-8614-6970,.,2022-12-31
대구광역시,남구,사랑마을재가노인복지센터,010-7315-6889,"만 60세 이상 시니어 고용 * 참여 대상자 : 만 60세 이상* 우대 사항 : 보건관련 자격증 소시자 우대* 참여제외 : 중앙정부 및 지방자치단쳬 재정지원일자리사업 등에 참여중인 자  요양보호사, 경비원, 청소원, 환경미화원, 방역원, 자영업자 등  참여기업과 가족관계에 있는 자  인턴십 참여직전 90일 이내 해당 기업에 취업 사실이 잇는자  4대보험 이중 취득자 등 참여 불가",2022-12-31
대구광역시,남구,김범수 마취통증의학과 의원,010-3452-7994,"만 60세 이상 시니어 고용 * 참여 대상자 : 만 60세 이상* 우대 사항 : 보건관련 자격증 소시자 우대* 참여제외 : 중앙정부 및 지방자치단쳬 재정지원일자리사업 등에 참여중인 자  요양보호사, 경비원, 청소원, 환경미화원, 방역원, 자영업자 등  참여기업과 가족관계에 있는 자  인턴십 참여직전 90일 이내 해당 기업에 취업 사실이 잇는자  4대보험 이중 취득자 등 참여 불가",2022-12-31
대구광역시,남구,주식회사 그린피아,010-6567-7963,"실시인원 : 인턴 5명모집연령대 : 60대이상모집직종 : 시설 전기,보일러 등 관리원 2명, 주차안내관리원 3명근무지역 : 대구경북권내자격사항 : 관련자격증자 우대고요예정인원 : 인턴십 시행이수 계속 고용 또는 신규고용 예정인원 5명 100% 계획",2022-12-31
대구광역시,남구,종려요양공동생활가정,010-2818-8753,"실시인원 : 인턴 5명모집연령대 : 60대이상모집직종 : 어르신 식사 등 조리사 2명, 조리보조원 1명, 어르신 송영 운전원 1명근무지역 : 대구권내자격사항 : 관련 자격증자 우대고용예정인원 : 인턴십 시행이수 계속 고용 또는 신규고용 예정인원 5명 100% 계획",2022-12-31
대구광역시,남구,대양노인주간보호센터,010-5542-5124,"실시인원 : 인턴 5명모집연령대 : 60대이상모집직종 : 어르신 식사 등 조리사 2명, 조리보조원 1명, 어르신 송영 운전원 1명근무지역 : 대구권내자격사항 : 관련 자격증자 우대고용예정인원 : 인턴십 시행이수 계속 고용 또는 신규고용 예정인원 5명 100% 계획",2022-12-31
대구광역시,남구,HD산업,010-3545-1180,1.사업명 : 시니어인턴십2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.부서배치 및 참여인원 : 갤러리매니저 1명,2022-12-31
대구광역시,남구,(주)대양복지센터,010-3828-1036,1.사업명 : 시니어인턴십2.사업목적 : - 노인일자리 활성화 및 신규 일자리창출 - 어르신들이 경제 활동을 통한 우울증 감소 및 자신감 회복 - 소득 증대를 통한 경제력 확보 - 어르신들의 근무의욕 고취3.부서배치 및 참여인원 : 갤러리매니저 1명,2022-12-31
대구광역시,남구,금상노인복지센터,010-7722-1960,"실시인원 : 인턴 2명모집연령대 : 60대이상모집직종 : 주방조리보조원 1종, 운전원 1명근무지역 : 대구 북구자격사항 : 신체건강한 분, 경력 무관, 운전원 운전면허 1종보통이상자고용예정인원 : 인턴십 시행이수 계속고용 또는 신규고용 예정인원 2명 100%계획",2022-12-31
대구광역시,남구,(주)신동아전세관광,010-8305-0509,"실시인원 : 인턴 3명모집연령대 : 60대이상모집직종 : 관광버스운전원10.근무지역 : 대구권내11.자격사항 : 신체건강한 분, 경력사항 무관, 운전면허 1종대형 소지자12.고용예정인원 : 인턴십 시행이후 계속고용 또는 신규고용 예정인원 3명 100%계획",2022-12-31
대구광역시,남구,주식회사 대범물류시스템,010-2347-8066,"주문물류 작업장내 적재 구인물류확인 및 분류, 파렛 적재 업무",2022-12-31
대구광역시,남구,오케이아웃소싱주식회사,010-4155-3660,재활병원 병동지원인력 구인휠체어로 환자이동등의 업무,2022-12-31
대구광역시,달서구,한영산업,053-745-4706,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220410~20221231(입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220410~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,달서구,사회적협동조합드림즈,010-4931-3991,"사회적협동조합드림즈에서 시니어인터십 참여자를 모집합니다 1. 모집직종 :  운전,안전관리,교육-4명 2. 자격사항 :  신체건강한분많은 지원 바랍니다.",2022-12-31
대구광역시,달서구,우리경영컨설팅(주),053-745-4706,2022 시니어인턴 참여자 모집      1. 모집직종 : 컨설팅업 2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상,2022-12-31
대구광역시,달서구,남강플랜트 주식회사,053-745-4706,"2021 시니어인턴 참여자 모집1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 포항시 흥해읍4. 근무기간 : 20220106~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20221002~20220106 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,달서구,경상매일신문,053-745-4706,"1. 모집직종 : 감독 및 기술감독2. 모집인원 : 13. 근무장소  포항시 북구4. 근무기간 : 20220307~20230228  (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20221002~20220106 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,달서구,티앤티스포츠,053-745-4706,2022 시니어인턴 참여자 모집 [매칭완료]     1. 모집직종 : 제조 단순종사원2. 모집인원 : 23. 근무장소 : 대구시 달성군4. 근무기간 : 20220106~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중),2022-12-31
대구광역시,달서구,주식회사 창공주차산업,053-745-4706,"2022 시니어인턴 참여자 모집 1. 모집직종 : 단순제조2. 모집인원 : 13. 근무장소 : 경북4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220101~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,달서구,동명택시,053-745-4706,"2022 시니어인턴 참여자 모집      1. 모집직종 : 기타사무원, 조리사, 식당서비스, 판매종사자, 단순제조, 운송직 등2. 모집인원 : 503. 근무장소 : 대구4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09",2022-12-31
대구광역시,달서구,제일효요양병원,053-745-4706,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 사무보조원2. 모집인원 : 33. 근무장소 : 서울4. 근무기간 : 20220401~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 :20220401~20221231(모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,동구,태진실리콘,010-9358-5066,♧ 단순 제조원 모집- 학력 : 학력무관- 경력 : 관계없음- 신체건강하고 성실한 분- 경력자 우대- 급여 : 회사협의 후 결정- 이력서- 3대 사회보험 가입,2022-12-31
대구광역시,북구,청운교통,010-3044-2062,"1.사 업 명 : 2022년 시니어인턴십 참여자 모집2.모집직종 및 참여인원 : 택시운전원, 5명3.자격요건 : 만60세 이상으로 해당직무를 수행할 수 있는 건강한 어르신4.근무지역 : 대구광역시5.근무시간 : 9시~18시(협의조정 가능)6.",2022-12-31
대구광역시,북구,제일택시협동조합,053-611-1980,"사업목적 : 만60세이상자에게 일할 기회를 제공함으로써 노인의 직업능력강화 및 재취업기회를 촉진함.1.사업명 : 2022년 시니어 인턴십 참여자 모집2.모집직종 및 참여인원 : 택시운전원, 10명3.자격요건 : 만60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신4.근무지역 : 대구광역시5.근무시간 : 09시~18시(협의조정가능)6.급여수준 : 면접 시 협의",2022-12-31
대구광역시,북구,신라교통(주),황희섭,"사업목적 : 만60세이상자에게 일할 기회를 제공함으로써 노인의 직업능력강화 및 재취업기회를 촉진함.1.사업명 : 2022년 시니어 인턴십 참여자 모집2.모집직종 및 참여인원 : 택시운전원, 20명3.자격요건 : 만60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신4.근무지역 : 대구광역시5.근무시간 : 09시~18시(협의조정가능)6.급여수준 : 면접 시 협의",2022-12-31
대구광역시,북구,금영운수(주),010-2849-5861,"사업목적 :　만60세이상자에게 일할 기회를 제공함으로써 노인의 직업능력강화 및 재취업기회를 촉진     1.사 업 명 : 2022년 시니어인턴십 참여자 모집2.모집직종 및 참여인원 : 택시운전원, 5명3.자격요건 : 만60세 이상으로 해당직무를 수행할 수 있는 건강한 어르신4.근무지역 : 대구광역시5.근무시간 : 9시~18시(협의조정 가능)6.급여수준 : 면접 시 협의7.제출서류 : 이력서8.관련문의 : 대구북구시니어클럽 팀장 박 세은 / 김 태환 (***-****-****):",2022-12-31
대구광역시,서구,한영산업,053-745-4706,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220410~20221231(입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220410~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,서구,사회적협동조합드림즈,010-4931-3991,"사회적협동조합드림즈에서 시니어인터십 참여자를 모집합니다 1. 모집직종 :  운전,안전관리,교육-4명 2. 자격사항 :  신체건강한분많은 지원 바랍니다.",2022-12-31
대구광역시,서구,남강플랜트 주식회사,053-745-4706,"2021 시니어인턴 참여자 모집1. 모집직종 : 제조 단순종사원2. 모집인원 : 13. 근무장소 : 포항시 흥해읍4. 근무기간 : 20220106~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20221002~20220106 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,서구,경상매일신문,053-745-4706,"1. 모집직종 : 감독 및 기술감독2. 모집인원 : 13. 근무장소  포항시 북구4. 근무기간 : 20220307~20230228  (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20221002~20220106 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,서구,티앤티스포츠,053-745-4706,2022 시니어인턴 참여자 모집 [매칭완료]     1. 모집직종 : 제조 단순종사원2. 모집인원 : 23. 근무장소 : 대구시 달성군4. 근무기간 : 20220106~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중),2022-12-31
대구광역시,서구,주식회사 창공주차산업,053-745-4706,"2022 시니어인턴 참여자 모집 1. 모집직종 : 단순제조2. 모집인원 : 13. 근무장소 : 경북4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 : 20220101~20221231 (모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,서구,동명택시,053-745-4706,"2022 시니어인턴 참여자 모집      1. 모집직종 : 기타사무원, 조리사, 식당서비스, 판매종사자, 단순제조, 운송직 등2. 모집인원 : 503. 근무장소 : 대구4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09",2022-12-31
대구광역시,서구,제일효요양병원,053-745-4706,"2022 시니어인턴 참여자 모집 [매칭완료]1. 모집직종 : 사무보조원2. 모집인원 : 33. 근무장소 : 서울4. 근무기간 : 20220401~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상7. 자격요건 : 만 60세 이상으로 해당 직무를 수행할 수 있는 건강한 어르신8. 모집기간 :20220401~20221231(모집시까지 충원)9. 신청방법 : 전화 문의 후 기관 방문 상담 및 기업 동행면접 실시10. 제출서류 : 주민등록증, 주민등록 등본, 이력서11. 관련문의 : 이노비즈협회 정세원(***-****-****)",2022-12-31
대구광역시,서구,우리경영컨설팅(주),053-745-4706,2022 시니어인턴 참여자 모집      1. 모집직종 : 컨설팅업 2. 모집인원 : 13. 근무장소 : 대구4. 근무기간 : 20220101~20221231 (입사일은 모집/면접 상황에 따라 변동가능)5. 근무시간 : 09시 ~18시 (협의 중)6. 급여수준 : 최저임금 이상,2022-12-31
대구광역시,수성구,웅부관광 주식회사,053-783-3600,"2022년 시니어인턴십사업 참여자 모집 1.모집직종:운전원 2.모집인원:00명 3.모집기간:2022.1.1.~2022.12.31.4.근무기간:2022.1.1.~2022.12.31.(1년) 5.근무시간:09:00~18:00 6.급여수준:9,160원,4대보험 가입 7.자격요건:만60세이상 직무를 수행할 수 있는 건강하고 의욕이 있는 분",2022-12-31
대구광역시,중구,평리유치원,053-422-1907,"1.모집직종:조리원,운전원2.모집인원:00명3.모집기간:2022.01.01.~2022.12.314.근무기간:2022.1.1.~2022.12.31.(1년)5.근무시간:09:00~18:006.급여수준:9,160원,4대보험 가입7.자격요건:만",2022-12-31
