시도,구분,제목,장소,기간,가격,문의처
부산광역시,무용/발레,"제34주년 부산주니어발레컴퍼니 정기공연, 콩쥐팥쥐",영화의 전당 하늘연극장,2022-11-05~2022-11-05,유료,영화의전당 051-780-6060
광주광역시,뮤지컬/오페라,"빛고을 어린이 연극잔치, 호랑이가",국립아시아문화의전당 어린이문화원,2022-11-05~2022-11-05,무료,교육극단 파랑새 062-514-4328
서울특별시,음악/콘서트,이은혜 & 김은총 듀오 리사이틀,북서울 꿈의숲아트센터,2022-11-05~2022-11-05,유료,민예술기획 010-4951-0193
인천광역시,뮤지컬/오페라,엄마까투리: 마트에 간 꽁지 [인천],인천글로벌캠퍼스 대강당,2022-11-05~2022-11-05,무료,인구보건복지협회 인천지회 032-451-4000
경상남도,뮤지컬/오페라,헤어드레서 [함양],함양군문화예술회관,2022-11-05~2022-11-05,유료,함양문화예술회관 055-960-6710
경기도,뮤지컬/오페라,우당탕탕 잭과 꿈나무 [과천],과천시민회관 대극장,2022-11-05~2022-11-05,유료,과천문화재단 02-2009-9772
서울특별시,국악,K Music 한마당,베어홀,2022-11-05~2022-11-05,유료,베어홀 1899-2771
대구광역시,국악,"대구문화예술회관판소리 완창시리즈, 김진아의 보성소리: 성창순 바디 심청가",대구문화예술회관,2022-11-05~2022-11-05,유료,"대구문화예술회관 053-606-6135, 6133"
인천광역시,뮤지컬/오페라,박쥐 [인천],인천학생교육문화회관,2022-11-05~2022-11-05,무료,인천학생교육문화회관 032-760-3538
서울특별시,음악/콘서트,시작은 마흔이었다,JCC아트센터,2022-11-05~2022-11-05,유료,현대문화기획 02-2266-1307
경기도,음악/콘서트,"MEG아트홀 기획연주 39, 더 패밀리 콘서트: 하모니카 판타지",MEG아트홀,2022-11-05~2022-11-05,유료,MEG아트홀 010-9458-5310
대구광역시,음악/콘서트,시네마 클래식 데이 [대구],아양아트센터,2022-11-05~2022-11-05,유료,대구동구문화재단 공연기획팀 053-230-3316
경기도,음악/콘서트,"토요 브런치 콘서트, 로스팅 시리즈 8: French",김포아트홀,2022-11-05~2022-11-05,유료,김포아트홀 031-996-1605
충청남도,연극,신뺑파전 [보령],보령문화예술회관,2022-11-05~2022-11-05,유료,보령문화예술회관 041-930-3427
전라북도,음악/콘서트,이은정 바이올린 독주회 [전주],한국소리문화의전당,2022-11-05~2022-11-05,유료,010-4466-0540
서울특별시,음악/콘서트,바리톤 석상근 독창회,푸르지오 아트홀,2022-11-05~2022-11-05,유료,툴뮤직 02-3443-5702
서울특별시,음악/콘서트,"(사)홍정희오페라단 오페라 갈라콘서트, 별이 빛나는 밤에",국립극장 하늘극장,2022-11-05~2022-11-05,유료,리드예술기획 02-518-9792 / (사)홍정희 오페라단 02-3473-3170
서울특별시,음악/콘서트,"박물관으로간피아노, 박종성 & 김진세",목인박물관,2022-11-05~2022-11-05,유료,목인박물관 02-722-5055 / 포스트스트라디움 010-3599-4501
서울특별시,음악/콘서트,베이스 구본수 콘서트,윤당아트홀,2022-11-05~2022-11-05,유료,라이브러리컴퍼니 070-4190-1289
서울특별시,무용/발레,"제15회 K-Ballet World, 월드발레스타갈라",국립극장 해오름극장,2022-11-05~2022-11-05,유료,한국발레협회 02-538-0505
대전광역시,음악/콘서트,"대전시립교향악단 마스터즈시리즈11, 낭만에서 신고전까지",대전시립연정국악원,2022-11-05~2022-11-05,유료,대전시립교향악단 042-270-8382~8
대구광역시,뮤지컬/오페라,나르키소스 [대구],달서아트센터,2022-11-05~2022-11-05,무료,지오뮤직 010-3049-2731
서울특별시,국악,청춘만발 콘서트,세실극장,2022-11-05~2022-11-05,유료,국립정동극장 세실 02-751-1500
서울특별시,음악/콘서트,최인 기타 리사이틀,영산아트홀,2022-11-05~2022-11-05,유료,피셔인젤 예술기획 070-4220-3287
경기도,기타,"음악으로 그리는 일곱 가지 반 고흐, 별이 빛나는 밤에 [남양주]",다산아트홀,2022-11-05~2022-11-05,유료,"다산아트홀 031-590-4358, 4361"
서울특별시,연극,"유라시아셰익스피어극단(ESTC), 로미오&줄리엣(Romeo&Juliet) [노원]",노원문화예술회관,2022-11-05~2022-11-05,유료,노원문화재단 02-2289-3400
경상남도,뮤지컬/오페라,사과가 쿵 [경주],경주예술의전당,2022-11-05~2022-11-05,유료,한울엔터테인먼트 1566-7754
충청북도,뮤지컬/오페라,아기돼지 삼형제 [증평],증평문화회관,2022-11-05~2022-11-05,유료,인터파크 1544-1555
서울특별시,음악/콘서트,김재준 첼로 독주회,예술의전당 인춘아트홀,2022-11-05~2022-11-05,유료,JJ예술기획 02-511-1920
경기도,국악,신노이 SINNOI [수원],수원SK아트리움,2022-11-05~2022-11-05,유료,수원SK아트리움 031-250-5300
경기도,음악/콘서트,불후의 클래식 [여주],세종국악당,2022-11-05~2022-11-05,유료,여주세종문화재단 031-881-9681
강원도,음악/콘서트,제25회 춘천시립청소년교향악단 정기연주회,춘천문화예술회관,2022-11-05~2022-11-05,무료,"춘천시립예술단 033-259-5869, 5879"
광주광역시,뮤지컬/오페라,잔니스키키,국립아시아문화전당,2022-11-05~2022-11-05,유료,국립아시아문화전당 1899-5566
전라남도,뮤지컬/오페라,누가 내 머리에 똥 쌌어? [해남],해남문화예술회관,2022-11-05~2022-11-05,유료,극단 국민 010-4095-3005
경기도,국악,가장무도: 일상을 위한 일탈 [광명],광명시민회관,2022-11-05~2022-11-05,유료,광명문화재단 02-2621-8845
경기도,음악/콘서트,"아트시그널 고양 마스터즈 3, 김주영",고양아람누리 아람음악당,2022-11-05~2022-11-05,무료,고양문화재단 1577-7766
경상남도,음악/콘서트,테너 존노 리사이틀 [함안],함안문화예술회관,2022-11-05~2022-11-05,유료,함안문화예술회관 055-580-3623~3627
인천광역시,음악/콘서트,권나경 플루트 독주회 [인천],엘림아트센터,2022-11-05~2022-11-05,유료,엘림아트센터 032-289-4275
서울특별시,음악/콘서트,협성대학교 피아노과 교수 음악회,세종문화회관 체임버홀,2022-11-05~2022-11-05,유료,컬처파크209 02-556-0209
대구광역시,뮤지컬/오페라,"봉포유 라온스테이지 IV, EG뮤지컬컴퍼니",봉산문화회관,2022-11-05~2022-11-05,유료,봉산문화회관 053-661-3521
서울특별시,음악/콘서트,"아름다운 목요일, 스페셜 콘서트: 트리오 서울 (11.5)",금호아트홀 연세,2022-11-05~2022-11-05,유료,금호문화재단 02-6303-1977
인천광역시,음악/콘서트,파비오 비온디 & 에우로파 갈란테: 사계 [인천],아트센터 인천,2022-11-05~2022-11-05,유료,아트센터인천 032-453-7700
서울특별시,음악/콘서트,김선욱 & 유럽 챔버 오케스트라 (11.05),예술의전당 콘서트홀,2022-11-05~2022-11-05,유료,빈체로 02-599-5743
경기도,국악,"k-남사당놀이, 판: 박첨지",안양아트센터,2022-11-05~2022-11-05,유료,"안양아트센터 031-687-0500, 0555"
울산광역시,음악/콘서트,펠릭스 클리저 호른 리사이틀 [울산],현대예술관,2022-11-05~2022-11-05,유료,현대예술관 1522-3331
서울특별시,뮤지컬/오페라,피노키오 [서울 서대문],서대문문화체육회관,2022-11-05~2022-11-05,유료,극단 희망 010-2258-9411
인천광역시,연극,염쟁이 유씨 [인천],부평아트센터 달누리극장,2022-11-05~2022-11-05,유료,부평아트센터 032-500-2000
서울특별시,국악,[야광명월(夜光明月)] 그루브앤드,서울돈화문국악당,2022-11-05~2022-11-05,무료,02-3210-7001
서울특별시,음악/콘서트,정한빈 피아노 리사이틀 - 친애하는 프란츠에게,예술의전당 IBK챔버홀,2022-11-05~2022-11-05,유료,스톰프뮤직 02-2658-3546
광주광역시,전시,지구의 시간,국립아시아문화전당,2022-07-01~2022-11-06,무료,1899-5566
서울특별시,뮤지컬/오페라,미세스 다웃파이어,샤롯데씨어터,2022-08-30~2022-11-06,유료,주식회사 스튜디오선데이 070-8260-0705
경기도,뮤지컬/오페라,토끼와거북이 [수원],KBS수원아트홀,2022-09-10~2022-11-06,유료,031-216-5201
서울특별시,뮤지컬/오페라,삼총사,유니버설아트센터,2022-09-16~2022-11-06,유료,글로벌컨텐츠 02-2051-1698
경기도,뮤지컬/오페라,신데렐라 [광명],소나무극장,2022-09-17~2022-11-06,유료,010-2224-2719
서울특별시,뮤지컬/오페라,헬로마마 [서울],명작극장,2022-10-01~2022-11-06,유료,대영뮤지컬컴퍼니 02-712-7080
서울특별시,연극,눈을 뜻하는 수백 가지 단어들 (앵콜),드림아트센터,2022-10-13~2022-11-06,유료,(주)엠피앤컴퍼니 02-744-4033
강원도,연극,금따는 콩밭,아트팩토리 봄,2022-10-14~2022-11-06,유료,아트팩토리 봄 033-263-7222
경기도,뮤지컬/오페라,앨리스 인 원더랜드 [수원],광교레이크아트홀,2022-10-15~2022-11-06,유료,광교레이크아트홀 031-216-7179
서울특별시,뮤지컬/오페라,우당탕 커다란 순무뽑기 대소동 [서울],상상나라극장,2022-10-15~2022-11-06,유료,인터파크 1544-1555
서울특별시,연극,"제7회 늘푸른연극제, 겹괴기담",더 줌 아트센터,2022-10-21~2022-11-06,유료,더줌아트센터 02-790-6792~3
서울특별시,연극,속살,서완소극장 (구 씨어터고리),2022-10-25~2022-11-06,유료,010-5701-3477
서울특별시,연극,졸업,동숭무대 소극장,2022-10-26~2022-11-06,유료,010-8528-4130 (문자만)
서울특별시,연극,해피투게더,연우소극장,2022-10-26~2022-11-06,유료,010-9308-5728
서울특별시,연극,쓱싹쓱싹,극장 PLOT (구 1M SPACE),2022-10-26~2022-11-06,유료,인터파크 1544-1555
서울특별시,연극,표절 작가,대학로 스튜디오 76,2022-10-26~2022-11-06,유료,010-4514-5328
서울특별시,국악,"이희문 쏭폼스토리즈, 강남오아시스",세종문화회관 S씨어터,2022-10-27~2022-11-06,유료,세종문화회관 02-399-1000
서울특별시,연극,"웰컴 대학로, 건달은 개뿔",서경대학교 공연예술센터(혜화역),2022-10-27~2022-11-06,유료,아트리버 02-6498-0403
서울특별시,국악,이희문 쏭폼스토리즈 <강남오아시스>,세종문화회관 S씨어터,2022-10-27~2022-11-06,유료,02-399-1000
서울특별시,연극,즐거운 너의 집,미아리고개예술극장,2022-10-28~2022-11-06,유료,얄라리얄라 yallariyalla012@gmail.com / 인터파크 1544-1555
부산광역시,뮤지컬/오페라,우연히 행복해지다 [부산],경성대학교소극장,2022-10-28~2022-11-06,유료,극단 바라 1600-1716
서울특별시,무용/발레,"유니버설발레단, 오네긴",예술의전당 오페라극장,2022-10-29~2022-11-06,유료,유니버설발레단 070-7124-1734
충청남도,뮤지컬/오페라,팥죽할멈과 호랑이 [천안],홈플러스천안신방점소극장,2022-10-29~2022-11-06,유료,홈플러스천안신방점 소극장 041-578-1090
서울특별시,연극,지하비행사,연희예술극장,2022-11-02~2022-11-06,유료,인스타그램 @play_hyeyum / 인터파크 1544-1555
서울특별시,뮤지컬/오페라,"웰컴 대학로, 마리오네트",서경대학교 공연예술센터(혜화역),2022-11-02~2022-11-06,유료,(주)예술인 02-548-4480
서울특별시,연극,쥐 덫,소극장 공유(구.키작은소나무극장),2022-11-03~2022-11-06,유료,인터파크 1544-1555
서울특별시,연극,선물,보광극장,2022-11-03~2022-11-06,유료,010-5140-1105
서울특별시,연극,"제12회 미래연극제, 문병재 유머코드에 관한 사적인 보고서",씨어터쿰,2022-11-03~2022-11-06,유료,서울연극협회 02-765-7500
서울특별시,전시,eXplainable Human,갤러리 지하,2022-11-04~2022-11-06,무료,010-2970-8976
서울특별시,연극,세상을 편력하는 두 기사 이야기: 돈키호테로부터,씨어터 조이(구 마당세실극장),2022-11-04~2022-11-06,유료,010-2868-5659
서울특별시,무용/발레,Universe in Me,플랫폼엘 컨템포러리 아트센터,2022-11-04~2022-11-06,유료,인터파크 1544-1555
대전광역시,연극,스카팽 [대전],대전예술의전당,2022-11-04~2022-11-06,유료,대전예술의전당 042-270-8333
경상남도,연극,리어왕 [진주],경상남도 문화예술회관,2022-11-04~2022-11-06,유료,경남도립예술단 055-254-4695
서울특별시,뮤지컬/오페라,제1회 윤악당뮤지컬밴드 정기공연,서울생활문화센터 서교,2022-11-05~2022-11-06,유료,02-6351-7533 / 010-4702-8816
경기도,연극,블랙코메디 [안산],안산문화예술의전당,2022-11-05~2022-11-06,유료,010-4916-2703
광주광역시,연극,뉴 일루전 쇼케이스,국립아시아문화전당,2022-11-05~2022-11-06,무료,국립아시아문화전당 1899-5566
제주특별자치도,연극,"화해, 인간애의 아름다운 하모니 해경무렵",서귀포예술의전당,2022-11-05~2022-11-06,무료,서귀포예술의전당 064-760-3368 / 064-722-0794
서울특별시,연극,프리랜서 박 과장 실종사건,소극장피카소,2022-11-05~2022-11-06,유료,카카오채널 예술집단 멩이 / 인스타그램 meng_iiii / 인터파크 1544-1555
서울특별시,뮤지컬/오페라,이상한 날씨로 여행을 갈까요?,서서울예술교육센터,2022-11-05~2022-11-06,유료,서서울예술교육센터 02-2697-2600
대구광역시,연극,"작은 무대에 부는 바람, 정크, 클라운 [대구]",한울림 소극장,2022-11-05~2022-11-06,유료,한울림소극장 053-246-2925
서울특별시,연극,"제22회 월드 2인극 페스티벌, 머리맡",대학로 예술공간 혜화,2022-11-05~2022-11-06,유료,2인극페스티벌 조직위원회 070-7776-6613
경상남도,연극,"작은 무대에 부는 바람, 호야 내 새끼 2",현장아트홀,2022-11-05~2022-11-06,유료,한국연극협회 경상남도지회 055-746-7413
서울특별시,연극,패크랫 [서울 마포],문화비축기지,2022-11-05~2022-11-06,유료,02-2633-2071
경상남도,연극,"작은 무대에 부는 바람, 사평역",소극장 공터다,2022-11-05~2022-11-06,유료,사단법인 문화창작집단공터다 054-444-0604
광주광역시,연극,"제25회 광주소극장축제, 향교품바",예린소극장,2022-11-05~2022-11-06,유료,광주소극장협회 062-222-7008 / 010-4701-7300
광주광역시,뮤지컬/오페라,브레드이발소: 대결! 최고의 이발사 [광주],5.18 기념문화회관 민주홀,2022-11-05~2022-11-06,유료,티켓링크 1588-7890
부산광역시,뮤지컬/오페라,"민쩌미, 사랑해요 엄마! [부산(앵콜)]",KBS부산홀,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
대구광역시,뮤지컬/오페라,프린세스공주 [대구],신세계 문화홀 대구점,2022-11-05~2022-11-06,유료,좋은사람들 070-4045-2302
서울특별시,연극,"제6회 구로꿈나무인형극제, 배고파",구로꿈나무극장,2022-11-05~2022-11-06,유료,구로꿈나무극장 02-830-2561~2 / 2508
전라남도,뮤지컬/오페라,바다탐험대 옥토넛 시즌2: 대산호초 보호작전 [목포],목포시민문화체육센터 대공연장,2022-11-05~2022-11-06,유료,1800-7672
강원도,뮤지컬/오페라,엘사의 생일파티 [속초],속초문화예술회관,2022-11-05~2022-11-06,유료,극단 예일 02-555-0822~3
부산광역시,뮤지컬/오페라,더퀸: 선덕여왕의 귀환 [부산],동래문화회관대극장,2022-11-05~2022-11-06,유료,플레이더부산 1600-0316
인천광역시,뮤지컬/오페라,수박수영장 [인천],부평아트센터 해누리 극장,2022-11-05~2022-11-06,유료,에이엠컬처 02-6413-3698
강원도,뮤지컬/오페라,시크릿쥬쥬 시즌3: 별의 여신 마지막콘서트 [강릉],강릉아트센터 사임당홀,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
제주특별자치도,뮤지컬/오페라,꼬마버스 타요와 하하호호 노래자랑 [제주],제주대학교 한라아트홀,2022-11-05~2022-11-06,유료,파이오니아 1811-8202
경상남도,뮤지컬/오페라,캐리TV 러브콘서트: KPOP [창원],KBS 창원홀,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
전라북도,뮤지컬/오페라,번개맨: 우주최강 번개삼총사 [익산],익산예술의전당 대공연장,2022-11-05~2022-11-06,유료,하늘이엔티 1688-6675
경기도,뮤지컬/오페라,급식왕: 발가락 떡볶이의 비밀 [안산],안산문화예술의전당,2022-11-05~2022-11-06,유료,인스타컴퍼니 1522-2061
경기도,뮤지컬/오페라,신데렐라 [용인],용인문화예술회관,2022-11-05~2022-11-06,유료,좋은사람들 070-4045-2302
경상남도,뮤지컬/오페라,캐치! 티니핑 프린세스 다이어리 [김해],김해서부문화센터 하늬홀,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
대전광역시,뮤지컬/오페라,프린세스 공주 [대전],평송청소년문화센터,2022-11-05~2022-11-06,유료,조이컬쳐 010-9611-2073
강원도,뮤지컬/오페라,고고다이노 우리동네공룡 [원주],원주백운아트홀,2022-11-05~2022-11-06,유료,원앤원 1688-8616
충청남도,뮤지컬/오페라,콩순이 시즌2: 우리들 음악회 [천안],천안시민문화여성회관 성환분관,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
경기도,뮤지컬/오페라,신비아파트 시즌5: 감염된 도시의 비밀 [고양],고양어울림누리,2022-11-05~2022-11-06,유료,동그라미그리기 1577-4868
세종특별자치시,연극,[집밖] 지지직 신비한라디오 [세종],세종문화예술회관,2022-11-06~2022-11-06,유료,인터파크 1544-1555
서울특별시,연극,Good doctor,피움스튜디오,2022-11-06~2022-11-06,무료,010-2237-0284
광주광역시,뮤지컬/오페라,"빛고을 어린이 연극잔치, 도서관 생쥐",국립아시아문화의전당 어린이문화원,2022-11-06~2022-11-06,무료,교육극단 파랑새 062-514-4328
서울특별시,국악,"김철진, 신지희의 산조 연",국립국악원 풍류사랑방,2022-11-06~2022-11-06,무료,모아모아프로덕션 010-4035-9488
경기도,음악/콘서트,김포필하모닉오케스트라 창작공연: 조 강,김포아트홀,2022-11-06~2022-11-06,유료,김포필하모닉오케스트라 031-983-4150
서울특별시,국악,제4회 박병재 대금독주회,서울돈화문국악당,2022-11-06~2022-11-06,유료,모아모아프로덕션 010-5709-0955
경상남도,국악,제10회 영천아리랑 대축제,영천시민회관,2022-11-06~2022-11-06,무료,영천시민회관 054-330-6680
울산광역시,음악/콘서트,시네마 클래식 데이 [울산],울산문화예술회관,2022-11-06~2022-11-06,유료,울산문화예술회관 052-275-9623
서울특별시,국악,제4회 박병재 대금독주회 여세추이Ⅱ（자작곡 발표회）,서울돈화문국악당,2022-11-06~2022-11-06,유료,010 5709 0955
서울특별시,국악,"김철진, 신지희의 산조 ‘緣(연)’",국립국악원 풍류사랑방,2022-11-06~2022-11-06,무료,010 4035 9488
서울특별시,음악/콘서트,창립 63주년 기념 한국기타협회정기연주회,세종문화회관 체임버홀,2022-11-06~2022-11-06,유료,한국기타협회 02-795-7551
광주광역시,음악/콘서트,ACC 시민오케스트라,국립아시아문화전당,2022-11-06~2022-11-06,무료,국립아시아문화전당 1899-5566
서울특별시,음악/콘서트,권명 바이올린 독주회,예술의전당 리사이틀홀,2022-11-06~2022-11-06,유료,예인예술기획 02-586-0945
서울특별시,음악/콘서트,김준희 피아노 독주회,금호아트홀 연세,2022-11-06~2022-11-06,유료,이든예술기획 02-6412-3053
서울특별시,음악/콘서트,바리톤 문경재 귀국 독창회,영산아트홀,2022-11-06~2022-11-06,유료,예술기획 파홀로 02-582-0040
서울특별시,음악/콘서트,콰르텟 솔 정기연주회,예술의전당 IBK챔버홀,2022-11-06~2022-11-06,유료,조인클래식 02-525-6162
서울특별시,음악/콘서트,정영미 귀국 바이올린 독주회,예술의전당 리사이틀홀,2022-11-06~2022-11-06,유료,예인예술기획 02-586-0945
부산광역시,국악,부산시립국악관현악단 실내악 향연,영화의 전당 하늘연극장,2022-11-06~2022-11-06,무료,영화의전당 051-780-6060 / 부산시립국악관현악단 051-607-3121
광주광역시,무용/발레,"제25회 광주소극장축제, The Outpouring of Youth: Movement",예술극장 통,2022-11-06~2022-11-06,유료,광주소극장협회 062-222-7008 / 010-4701-7300
서울특별시,음악/콘서트,바리톤 문경재 귀국 독창회,영산아트홀,2022-11-06~2022-11-06,유료,예술기획파홀로 02-582-0040
대전광역시,음악/콘서트,제43회 메시야필하모닉오케스트라 정기연주회,대전시립연정국악원,2022-11-06~2022-11-06,유료,유진예술기획 1661-0461 / 대전시립연정국악원 042-270-8585
경기도,뮤지컬/오페라,피노키오 [안산],안산올림픽기념관,2022-11-06~2022-11-06,유료,극단 희망 010-2258-9411
세종특별자치시,음악/콘서트,윤이상국제음악콩쿠르 입상자 콘서트 [세종],세종 예술의전당,2022-11-06~2022-11-06,유료,세종예술의전당 044-850-8922
전라북도,뮤지컬/오페라,누가 내 머리에 똥 쌌어? [정읍],정읍사예술회관,2022-11-06~2022-11-06,유료,극단 국민 010-4095-3005
대구광역시,음악/콘서트,손민수 피아노 리사이틀 [대구],아양아트센터,2022-11-06~2022-11-06,유료,목프로덕션 02-338-3816
서울특별시,음악/콘서트,채수아 피아노 독주회,예술의전당 인춘아트홀,2022-11-06~2022-11-06,유료,좋은 피아노 교사 070-4307-7874
경기도,뮤지컬/오페라,겨울왕국: 겨울이야기 [동두천],동두천시민회관,2022-11-06~2022-11-06,유료,극단 희망 010-2258-9411
서울특별시,음악/콘서트,차이코프스키 더 마스터피스,예술의전당 콘서트홀,2022-11-06~2022-11-06,유료,"두남재엔터테인먼트 02-6292-9368, 9370"
서울특별시,음악/콘서트,오민정 오보에 독주회,금호아트홀 연세,2022-11-06~2022-11-06,유료,예인예술기획 02-586-0945
서울특별시,음악/콘서트,안드라스 쉬프 피아노 리사이틀 [서울],롯데콘서트홀,2022-11-06~2022-11-06,유료,마스트미디어 02-541-2512
경상남도,뮤지컬/오페라,겨울왕국: 겨울이야기 [김해],김해칠암도서관,2022-11-06~2022-11-06,유료,인터파크 1544-1555
인천광역시,음악/콘서트,심포니 오브 메이플스토리 전국투어 [인천],아트센터 인천,2022-11-06~2022-11-06,유료,스톰프뮤직 02-2658-3546
서울특별시,국악,[야광명월(夜光明月)] 월드뮤직그룹 공명,서울돈화문국악당,2022-11-06~2022-11-06,무료,02-3210-7001
서울특별시,음악/콘서트,안드라스 쉬프 피아노 리사이틀,롯데 콘서트홀,2022-11-06~2022-11-06,유료,02-541-2512
인천광역시,음악/콘서트,"2022 카즈미 타테이시 트리오 내한 공연-지브리, 재즈를 만나다(인천)",인천문화예술회관,2022-11-06~2022-11-06,유료,070-8680-8477
서울특별시,뮤지컬/오페라,브론테,자유극장,2022-09-04~2022-11-07,유료,070-8095-9734
서울특별시,음악/콘서트,이자윤 바이올린 독주회,금호아트홀 연세,2022-11-07~2022-11-07,유료,이든예술기획 02-6412-3053
서울특별시,음악/콘서트,신동일 파이프오르간 독주회,롯데콘서트홀,2022-11-07~2022-11-07,유료,영음예술기획 02-581-5404
서울특별시,전시,[집밖] 감각의 비경계 맞닿은 세계,세운홀,2022-11-04~2022-11-08,무료,070-8145-7934
경기도,음악/콘서트,[집밖] 제14회 프라미스 청소년 오케스트라 정기연주회,용인포은아트홀,2022-11-08~2022-11-08,유료,프로아트 02-585-2934~6
서울특별시,국악,"신음악회 기획시리즈 이 ㅅ음 I, 봄봄",국립국악원 풍류사랑방,2022-11-08~2022-11-08,무료,현대문화기획 02-2266-1307
서울특별시,음악/콘서트,신진 아티스트 콘서트,북서울 꿈의숲아트센터,2022-11-08~2022-11-08,무료,JSBACH 070-4234-1305
서울특별시,음악/콘서트,국립합창단 <위대한 합창 시리즈Ⅲ: 바흐 B단조 미사>,국립극장 해오름극장,2022-11-08~2022-11-08,유료,02-587-8222
서울특별시,음악/콘서트,헨레 마스터클래스 with 안드라스 쉬프,신영체임버홀,2022-11-08~2022-11-08,유료,마스트미디어 02-541-3184
경기도,음악/콘서트,펄플룻앙상블 코리아 창단연주회,성남아트센터,2022-11-08~2022-11-08,무료,010-6313-7205
부산광역시,무용/발레,이야기와 해설이 있는 동화 속 발레 갈라 콘서트 [해운대],해운대문화회관,2022-11-08~2022-11-08,무료,해운대문화회관 051-749-7651
광주광역시,음악/콘서트,Amelie with Soundtrack: 아멜리와 함께하는 영화음악산책,광산문화예술회관,2022-11-08~2022-11-08,무료,광산구 문화예술과 062-960-8258
서울특별시,음악/콘서트,이수정 피아노 독주회,예술의전당 인춘아트홀,2022-11-08~2022-11-08,유료,"조인클래식 02-525-6162,5"
서울특별시,음악/콘서트,양정민 귀국 비올라 독주회,금호아트홀 연세,2022-11-08~2022-11-08,유료,마스트미디어 02-541-3184
